 AOA,x/c,1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1
 [deg],y/c,0,0.05248,0.073468,0.090605,0.102701,0.109032,0.108445,0.10036,0.075339,0.052949,0,-0.03115,-0.03513,-0.03548,-0.03146,-0.02707,-0.02268,-0.01828,-0.01389,-0.0095,0
-6,p[psid],-0.0783319,-0.018203,-0.0205392,-0.0259042,-0.0301834,-0.0315525,-0.0286393,-0.0251393,0.0036945,0.039036,-0.0620898,-0.002447,-0.0059507,-0.0100133,-0.0144341,-0.0195159,-0.0276184,-0.0407025,-0.0692144,-0.1384608,-0.0783319
-8,p[psid],-0.0365366,-0.0175578,-0.0216624,-0.0269726,-0.0296027,-0.0294806,-0.0252454,-0.0204293,0.008374,0.0412874,-0.0137851,-0.021207,-0.0291972,-0.0403628,-0.0480286,-0.0538741,-0.0588529,-0.0586228,-0.0566105,-0.0555154,-0.0365366
-4,p[psid],-0.0533793,-0.0227952,-0.024325,-0.0285022,-0.0342856,-0.0378151,-0.0373863,-0.0374265,-0.0119045,0.021585,-0.0061666,-0.0008794,-0.0034589,-0.0066282,-0.0099542,-0.013825,-0.0200567,-0.0303217,-0.0545769,-0.0839634,-0.0533793
-2,p[psid],-0.0355286,-0.0188611,-0.030427,-0.0333921,-0.0396245,-0.0452701,-0.0473534,-0.051028,-0.0289446,0.001288,0.0368996,0.0009814,-0.0008329,-0.0030243,-0.0052968,-0.0076904,-0.0125028,-0.0252015,-0.0382264,-0.0521961,-0.0355286
0,p[psid],-0.0196793,-0.0122476,-0.038334,-0.0429855,-0.0484171,-0.0558735,-0.0612507,-0.069671,-0.0529574,-0.0285374,0.0680537,0.0029267,0.0015401,0.0000632,-0.0014971,-0.0033165,-0.0064804,-0.0117363,-0.0201152,-0.0271109,-0.0196793
2,p[psid],-0.0097847,-0.0153578,-0.0274002,-0.0501489,-0.054442,-0.0616853,-0.0697657,-0.0821113,-0.0725789,-0.0570089,0.0702565,0.0046581,0.004021,0.0033881,0.002884,0.0021857,0.0008265,-0.0015561,-0.0041549,-0.0042116,-0.0097847
4,p[psid],-0.0014298,-0.0176172,-0.0305472,-0.0460359,-0.0672645,-0.0737554,-0.0842946,-0.1013461,-0.0986255,-0.0932985,0.0734545,0.0069932,0.0072111,0.0073424,0.0076807,0.0079558,0.0080218,0.007905,0.0097193,0.0147577,-0.0014298
6,p[psid],0.0060045,-0.019668,-0.0348296,-0.0498324,-0.0603842,-0.0913926,-0.1000452,-0.1187337,-0.1258793,-0.1323173,0.0579905,0.0077601,0.0089616,0.010085,0.0114282,0.0126967,0.0143066,0.0164522,0.0223864,0.0316769,0.0060045
8,p[psid],0.0131069,-0.0178379,-0.0334684,-0.0500205,-0.0629883,-0.077623,-0.112866,-0.1272867,-0.1440258,-0.1652429,0.0257211,0.009436,0.0114329,0.0132035,0.0153356,0.0172945,0.0200452,0.0238663,0.0326422,0.0440516,0.0131069
10,p[psid],0.0185052,-0.0178178,-0.033954,-0.0522828,-0.0689202,-0.0857273,-0.1228974,-0.1460726,-0.1695791,-0.2042257,-0.0162714,0.0101876,0.0131805,0.015778,0.0186957,0.0215379,0.0253866,0.0307592,0.0419021,0.0548282,0.0185052
12,p[psid],0.0203173,-0.0194918,-0.0334104,-0.0506008,-0.0678077,-0.0876157,-0.1107892,-0.1556499,-0.1825324,-0.2255704,-0.056009,0.0087061,0.0126651,0.0161327,0.0197019,0.0232236,0.0279683,0.0343156,0.0467785,0.0601264,0.0203173
14,p[psid],0.0182808,-0.0273889,-0.0351533,-0.048116,-0.0647682,-0.0860489,-0.1093169,-0.1564869,-0.1970064,-0.2447115,-0.0952148,0.005894,0.0110942,0.015488,0.0199074,0.0241391,0.0297,0.0370613,0.0506334,0.0639504,0.0182808
16,p[psid],0.0148141,-0.0359762,-0.0395683,-0.0446853,-0.0567055,-0.0773435,-0.102209,-0.1461469,-0.2050951,-0.2552244,-0.1293523,0.0029795,0.0093713,0.014571,0.0197071,0.0244213,0.030652,0.0386272,0.0527844,0.0656045,0.0148141
18,p[psid],-0.0010766,-0.0611646,-0.0603244,-0.0589092,-0.0567953,-0.0548159,-0.0538689,-0.0532929,-0.054611,-0.0594744,-0.0125565,-0.0089368,0.0001766,0.007064,0.013432,0.018932,0.0255174,0.033291,0.0463411,0.0590114,-0.0010766
20,p[psid],-0.0018653,-0.065464,-0.0639244,-0.061909,-0.059584,-0.0568432,-0.0555166,-0.0549001,-0.055602,-0.0580355,-0.0194376,-0.009932,0.0000039,0.0075437,0.0144164,0.0203858,0.0274994,0.035826,0.0494109,0.0617334,-0.0018653
22,p[psid],-0.0039574,-0.0697074,-0.0686077,-0.0671215,-0.0645658,-0.0614705,-0.0597314,-0.059089,-0.0597569,-0.0631526,-0.025552,-0.0132646,-0.0029546,0.0050979,0.0124647,0.0187503,0.0263724,0.0352334,0.0493982,0.0617927,-0.0039574
24,p[psid],-0.0042781,-0.0737414,-0.0725881,-0.070532,-0.0685397,-0.0665468,-0.0653174,-0.0650487,-0.0658682,-0.0686299,-0.0384851,-0.0168347,-0.0053659,0.0036342,0.0118549,0.0189594,0.0275225,0.0373425,0.0525596,0.0651852,-0.0042781
26,p[psid],-0.0064183,-0.0804563,-0.0791719,-0.0769737,-0.0754699,-0.0736873,-0.0724883,-0.0718006,-0.0721211,-0.0745627,-0.0524684,-0.0189557,-0.0063843,0.0034361,0.0123984,0.0201196,0.0293104,0.0398036,0.0554569,0.0676198,-0.0064183
16,p[psid],0.0151842,-0.0362879,-0.0402127,-0.045713,-0.0584429,-0.079888,-0.1054695,-0.1504265,-0.2096318,-0.2576892,-0.1305507,0.003125,0.0095687,0.0148081,0.0200361,0.0248573,0.0311729,0.0393459,0.0537251,0.0666564,0.0151842
18,p[psid],-0.0019315,-0.0632064,-0.0630063,-0.0614317,-0.0587865,-0.0555462,-0.0536022,-0.0534683,-0.0555626,-0.0615563,-0.0112563,-0.00872,0.0003908,0.0073307,0.0136241,0.019098,0.0256917,0.0334344,0.0465177,0.0593433,-0.0019315
17,p[psid],0.0109546,-0.0446504,-0.0460301,-0.0472395,-0.0527268,-0.0699499,-0.0955953,-0.1396917,-0.2057519,-0.2482088,-0.1452534,0.001459,0.0085639,0.0142249,0.0197605,0.0248984,0.031483,0.0398284,0.0542172,0.0665596,0.0109546
17.5,p[psid],0.0125108,-0.0435383,-0.0460161,-0.0479586,-0.0533389,-0.0710573,-0.0980589,-0.1443718,-0.213814,-0.2583059,-0.162443,0.0020398,0.0093376,0.0151782,0.0209087,0.0261052,0.0329174,0.0415212,0.0562114,0.0685599,0.0125108
18,p[psid],-0.001556,-0.0615687,-0.0606558,-0.0589565,-0.0564694,-0.0538447,-0.0517813,-0.0514965,-0.0529462,-0.0598505,-0.0100245,-0.0088056,0.0001547,0.0070304,0.0133518,0.0186962,0.0252399,0.0329139,0.0459328,0.0584567,-0.001556